product_i,product_j,city,cross_elast
540432,543783,Lucknow,0.0207
540432,543784,Lucknow,0.0207
540432,553767,Lucknow,0.0207
540432,553768,Lucknow,0.0207
540432,560813,Lucknow,0.0207
540432,572518,Lucknow,0.0207
540432,750931,Lucknow,0.0207
540432,753392,Lucknow,0.0207
540438,540432,Lucknow,0.0207
540438,541681,Lucknow,0.0207
540438,543783,Lucknow,0.0207
540438,543784,Lucknow,0.0207
540438,553767,Lucknow,0.0207
540438,553768,Lucknow,0.0207
540438,560813,Lucknow,0.0207
540438,572518,Lucknow,0.0207
540438,750931,Lucknow,0.0207
540438,753392,Lucknow,0.0207
541681,540432,Lucknow,0.0207
541681,540438,Lucknow,0.0207
541681,543783,Lucknow,0.0207
541681,543784,Lucknow,0.0207
541681,553767,Lucknow,0.0207
541681,553768,Lucknow,0.0207
541681,560813,Lucknow,0.0207
541681,572518,Lucknow,0.0207
541681,750931,Lucknow,0.0207
541681,753392,Lucknow,0.0207
543783,540432,Lucknow,0.0207
543783,540438,Lucknow,0.0207
543783,541681,Lucknow,0.0207
543783,543784,Lucknow,0.0207
543783,553767,Lucknow,0.0207
543783,553768,Lucknow,0.0207
543783,560813,Lucknow,0.0207
543783,572518,Lucknow,0.0207
543783,750931,Lucknow,0.0207
543783,753392,Lucknow,0.0207
543784,540432,Lucknow,0.0207
543784,540438,Lucknow,0.0207
543784,541681,Lucknow,0.0207
543784,543783,Lucknow,0.0207
543784,553767,Lucknow,0.0207
543784,553768,Lucknow,0.0207
543784,560813,Lucknow,0.0207
543784,572518,Lucknow,0.0207
543784,750931,Lucknow,0.0207
543784,753392,Lucknow,0.0207
553767,540432,Lucknow,0.0207
553767,540438,Lucknow,0.0207
553767,541681,Lucknow,0.0207
553767,543783,Lucknow,0.0207
553767,543784,Lucknow,0.0207
553767,553768,Lucknow,0.0207
553767,560813,Lucknow,0.0207
553767,572518,Lucknow,0.0207
553767,750931,Lucknow,0.0207
553767,753392,Lucknow,0.0207
553768,540432,Lucknow,0.0207
553768,540438,Lucknow,0.0207
553768,541681,Lucknow,0.0207
553768,543783,Lucknow,0.0207
553768,543784,Lucknow,0.0207
553768,553767,Lucknow,0.0207
553768,560813,Lucknow,0.0207
553768,572518,Lucknow,0.0207
553768,750931,Lucknow,0.0207
553768,753392,Lucknow,0.0207
560813,540432,Lucknow,0.0207
560813,540438,Lucknow,0.0207
560813,541681,Lucknow,0.0207
560813,543783,Lucknow,0.0207
560813,543784,Lucknow,0.0207
560813,553767,Lucknow,0.0207
560813,553768,Lucknow,0.0207
560813,572518,Lucknow,0.0207
560813,750931,Lucknow,0.0207
560813,753392,Lucknow,0.0207
572518,540432,Lucknow,0.0207
572518,540438,Lucknow,0.0207
572518,541681,Lucknow,0.0207
572518,543783,Lucknow,0.0207
572518,543784,Lucknow,0.0207
572518,553767,Lucknow,0.0207
572518,553768,Lucknow,0.0207
572518,560813,Lucknow,0.0207
572518,750931,Lucknow,0.0207
572518,753392,Lucknow,0.0207
750931,540432,Lucknow,0.0207
750931,540438,Lucknow,0.0207
750931,541681,Lucknow,0.0207
750931,543783,Lucknow,0.0207
750931,543784,Lucknow,0.0207
750931,553767,Lucknow,0.0207
750931,553768,Lucknow,0.0207
750931,560813,Lucknow,0.0207
750931,572518,Lucknow,0.0207
750931,753392,Lucknow,0.0207
753392,540432,Lucknow,0.0207
753392,540438,Lucknow,0.0207
753392,541681,Lucknow,0.0207
753392,543783,Lucknow,0.0207
753392,543784,Lucknow,0.0207
753392,553767,Lucknow,0.0207
753392,553768,Lucknow,0.0207
753392,560813,Lucknow,0.0207
753392,572518,Lucknow,0.0207
753392,750931,Lucknow,0.0207
540432,540438,Mumbai,0.0173
540432,541681,Mumbai,0.0173
540432,543783,Mumbai,0.0173
